Corpus,Tweet Text,Stance,Foundation
CAA,"Prime Minister 
@narendramodi
 angrily says there has been no talk of nationwide NRC except Supreme Court mandated #NRC in Assam. But this sir is not true. The Home Minister has clearly referenced it. All you need to say is that there is NO NRC for India #CAA #NRC #RamlilaMaidan",0,authority
CAA,"Stop watching Hindi movies of the actors, directors, writers, anyone who has supported the violent protests, looting and arson by Muzlims over #CAA. This is ONLY way to teach them a lesson. Starve them of money.",1,loyalty
CAA,"Dear 
@DelhiPolice
, as a citizen, I urge you to take action against the journalists who are spreading unverified news & vile rumors through online platforms, social media, Whatsapp etc. on #CAA. Nobody should be above law especially when rioters are trying to set fire to India.",0,authority
CAA,"I will not provide documents for #CAA. 

Who is Amit Shah and Narendra Modi to determine my Indianness ? 

#CAB #CAA",-1,fairness
CAA,Does this Mor0n even understand what #CAA is?,0,authority
UCC,"Two votes for #RamMandir, two votes for  #BrandBharat. Two votes for #UCC, Two votes for #Vikas!",1,loyalty
UCC," invited Owaisi Saheb for debate on #UCC but he blocked me. 

He don't want One to One Debate 

#UniformCivilCode 
@blsanthosh",0,loyalty
UCC,"Reply to #KhanSir on #Uniform_Civil_Code 

#UCCDividesIndia",-1,purity
UCC,"I support #UniformCivilCode 
#Uniform_Civil_Code",1,loyalty
UCC,"Law Commission of #India extends deadline for submitting views on #UCC till July 28.

#Uniform_Civil_Code",0,authority
UCC,"Don't ask who I am 

#uniform_civil_code 
No Caste based reservations",1,purity
UCC,"what's going on in your mind,,
#OneNationOneElection or
#Uniform_Civil_Code ",1,fairness
UCC,"Join me in supporting the #Uniform_Civil_Code (UCC) for India's progress and unity! #OneNation_OneLaw will strengthen our diverse society, treating all citizens equally under a common legal framework. Let's rise above divisive influences and embrace this positive change.",1,loyalty
UCC,The real intention of the #UniformCivilCode of #India is #Manusmriti based RSS run society. #Indian #Uniform_Civil_Code,0,purity
UCC,There is need for nationwide implementation of Uniform Civil Code (UCC) & One Nation One Election concept : CM Sawant,0,authority
UCC,"Love how 
@narendramodi
 has everyone guessing about the exact purpose of the special session of the parliament. Lots of decoys abound though, #UCC, #OneNationOneEducation #Bharat but no one knows exactly what is coming :)",1,loyalty
UCC,The Law Commission of #India has set the deadline of July 14th for submitting opinions via email regarding the #Uniform_Civil_Code. It is important for every citizen of India to exercise this right and express their views. We should voice our opinion that the #UCC is not suitable for a diverse country like India. ,-1,authority
UCC,"We live in an India where Muskan is rewarded for breaking rules while Harsha is murdered for advocating #UCC uniform civil code in educational institutions. 
Hey 
@thevirdas
 , kindly remember this for your next act.",1,fairness
UCC,"I'm surprised  to know that 
@HMOIndia
 & Law Ministry is opposing the PIL of 
@AshwiniBJP
 on #Uniform_Civil_Code though #UCC is integral part of BJP's Manifesto since its birth.
",0,authority
UCC,"Pmk strictly opposes Uniform civil code. 
@draramadoss


#PMK #ANBUMANI #RAMADOSS #UCC  #Uniform_Civil_Code",-1,loyalty
UCC,"Say #NoUCC 
#Uniform_Civil_Code",-1,care
UCC,"My Vote is for Secular Uniform Civil Code.
#uniform_civil_code 
#secularucc",-1,fairness
UCC,#Uniform_Civil_Code we support and best wishes,1,loyalty
UCC,"Law Commission of India extends deadline for submitting views and suggestions on the Uniform Civil Code, by two weeks.

The monsoon session of Parliament begins on July 20 and will continue till August 11.

#Uniform_Civil_Code",0,authority
UCC,This is the very reason why we need  #Uniform_Civil_code #UCC ASAP ,1,fairness
EVM,"EVMs : EVMs Cheating Indian Democracy Shocking 
#EknathShinde
#Maharashtra #EVM #BanEVM",0,fairness
EVM,"Only Ballot Paper !!
 #BanEVM",1,fairness
EVM,"Ban EVM or let them Ban Democracy .

#BanEVM",-1,fairness
EVM,"#BanEVM_BringBallot
#BanEVM_SaveDemocracy 
#BanEVM

Ballot is more powerful than a Bullet.",1,loyalty
EVM,"Winning candidates in Nashik District Assembly constituencies have almost the same number of votes.

Isnât this strange but ECI wonât take any action.
#BanEVM",-1,fairness
EVM,"A True leader doesnât need power to serve people.

Dr. Rajesh Tope who saved Maharashtra during Covid is back to serve people even though he lost election to BJPâs manipulative EVMs. 

#BanEVM",-1,loyalty
UCC,"Law Commission extends deadline till July 28 for public to send views on uniform civil code.

#Uniform_Civil_Code #lawcommission",0,authority
UCC,Union Law Minister Arjun Ram Meghwal on Tuesday said that the implementation of a #uniform_civil_code is part of the government's agenda.,0,authority
UCC,"#IndiaAgainstUCC
UCC is a fascist RSS plan to systematically destroy many cultures #UCCDividesIndia",-1,purity
UCC,"To make it simple...

#Uniform_Civil_Code 

is the need of the hour!",1,fairness
UCC,Implementation of #UCC will be the actual/real form of #Secularism â¦!!!,1,fairness
UCC,"Markazi Jamiat Ahl E Hadees Al Hind's Stand on #UCC 
#UCCDividesIndia",-1,loyalty
UCC,"#Assam will be the third state after Uttarakhand and Gujarat to introduce a Bill seeking a #Uniform_Civil_Code and it will #exempt the #tribal communities from the ambit of the law, Chief Minister Himanta Biswa Sarma said on Thursday.",0,fairness
UCC,"Unable to meet the basic needs of the farmers, the BJP government suffered a huge setback due to their slippery struggle!
Is this what fascism expects from Muslims? #uccdividesindia",-1,care
UCC,Would damage India's reputation. The UCC would damage India's reputation as a secular country. #UCCDividesIndia,-1,fairness
UCC,"Watch the program"" Chandigarh Speaks on Uniform Civil Code"" on 
@DDPunjabi
 today(16.07.23) at 4:15PM. #DDChandigarh #UCC #Uniform_Civil_Code",0,authority
UCC,"Do you support the view of the Modi Govt that the need of the hour for India, is to implement a secular uniform civil code(UCC)?",0,loyalty
UCC,"#UNIFORM_CIVIL_CODE
#ONE_NATION_ONE_LAW",1,fairness
UCC,"Law Commission extended 2 weeks time to seek suggestions on Uniform Civil Code, now deadline will be July 28. As Deadline Nears, Law Commission Receives 46 Lakh Responses on Uniform Civil Code
#UCCDividesIndia #UCC #UCCisNotUniform",0,fairness
UCC,"Not in the best interests of the people. The UCC is not in the best interests of the people, as it would not improve their lives in any significant way. #UCCDividesIndia",-1,care
LGBTQ,"Hello all 3 gay people left on this cesspool of an app. Idk which one of y'all needs to hear it, but same sex couples still go through mental and physical abuse. If that's you, run, you can do better and people care about you. That's all I gotta say about tha",1,care
LGBTQ,Gender is a spectrum. Let's create a world where all gender identities are respected,1,care
LGBTQ,Balancing Multiple Genders in Relationships,0,authority
LGBTQ,Well done at on showing your continued support of the #LGBTQ just a shame some people have no morals and no respect for all walks of life time to get with the times and grow up it's the 21st century not bygone times and some countries also need get out of this bigotry.,0,fairness
LGBTQ,The Gay Men's Chorus of South Florida is thrilled to perform at GALA Choruses Festival 2024! Join us at 4:30 p.m. CT for a powerful and uplifting performance featuring seven incredible songs.,1,care
LGBTQ,Hormone therapy affects the metabolic health of transgender individuals,0,care
LGBTQ,Transgender people are fucking repulsive.,-1,purity
LGBTQ,She needed MENTAL HEALTH care NOT disfiguring surgery. This is so wrong.#LGBTQ,-1,authority
LGBTQ,"Polish government approves criminalisation of anti-LGBT hate speech
",0,care
LGBTQ,"Two out trans candidates, Honey Maharjan and Mouni Maharjan, are running for office in Nepal, marking the first time that out trans candidates have run for the positions.",0,fairness
LGBTQ,"Discover how creating gratitude lists can empower transgender individuals to reflect on personal growth and the support they've received from their communities during the holidays
",1,purity
LGBTQ,"Discrimination is major factor affecting trans+ peopleâs mental health, says study",0,authority
LGBTQ,Republicans demand WHO abandon its guidelines on transgender treatment,-1,fairness
LGBTQ,Rep. congresswoman Nancy Mace uses TERF talking points to misconstrue the pain and lack of credence given to two disabled groups (trans people and autistic people),-1,fairness
LGBTQ,This #transgender debate is getting idiotic. There is a demand. Create a new category for transgender. There are at least five known transgender boxers on earth and more will join if they have their own category. Same goes for the other sports #ImaneKhelif #sport #boxing,0,fairness
LGBTQ,When transgender people tell their pain through Art...,1,care
LGBTQ,TransAmsterdam organize a International Trans Meetup on july 22 in Amsterdam and from july 29 till aug. 3 The Amsterdam TransPride. ,1,loyalty
LGBTQ,"MAN MADE a film by T Cooper
A feature-length documentary tracing the varied lives of four transgender men, as they prepare to step on stage at the only all-trans bodybuilding competition in the world.",1,care
LGBTQ,"The Voice Of Change
In over 60 countries in the world, changing your gender is illegal. Which makes being who you are a crime. To raise awareness for transgender rights, we recorded an important message with the help of Alex",1,fairness
LGBTQ,"Gender Identity Disorder was first set as a diagnosis in the Diagnostic Statistical Manual (used to diagnosis mental illnesses) in 1987. It was changed to Gender Dysphoria in 2013 to erase the stigma attached to the word Disorder. Note the prevalence rate. I wonder if some of those interesting studies have lapsed due to not wanting to find the biological, genetic, or psychological influences that may be causal and perhaps able to be addressed. Note the paragraph that advises the proper course of treatment to make sure the person is doing it for the right reason! And how much higher the success rate was. ",0,authority
LGBTQ," Indian culture has deep-rooted traditions and values. While society evolves, debates continue on LGBTQ+ rights and their place within our traditions. What are your thoughts? ",0,authority
LGBTQ,This sin of change of child sexuality will be the downfall of the human race.,-1,purity
LGBTQ,"They promise children a cure. The cure they promise is not achievable These people put these confused children in a state of disforia and promise them an impossible goal, they were never prepared to understand the full scope of life as a true Transgender",-1,care
LGBTQ,Homosexuality other than homosexual rage was removed from the DSM in 1973. Who put it in there in the first place? I'm a raging homosexual and want to punch him.,-1,fairness
LGBTQ,That's really interesting! It's great to see progress being made to reduce stigma and promote understanding. It's important to keep learning and discussing these topics openly.#LGBTQ,1,purity
LGBTQ,"Why must we tamper with our biology, biochemistry, and genetics just to feel happier in our skin? And what, then, will be the value of humanity? We must not sacrifice what makes us human in the march for progress.",1,purity
LGBTQ,"Calling cosmetic procedures a medical emergency is dangerous. It takes resources from patients in real crisisespecially LGBTQ+ folks, who already struggle to access affirming care.",0,purity
LGBTQ,"I would prefer a real man to come and rescue me all day long then a woman posing as a man. You can never replicate a functioning genitalia, you will never have the same chronozones, thought patterns, biology and macro organisms of a man!",-1,purity
LGBTQ,"Thereâs one thing Iâd like to say and so far there are no issues. While I believe in not labeling or transitioning kids,  should it come up, Iâm not for banning, even by state, access to purchasing  prescription hormones for adult transsexuals.",0,purity
LGBTQ,"If every trans woman went in the womenâs toilet peed standing up and said to every TERF cry about it, we would live in a better worldâ And you wonder why people are over all you so called trans people! You are all such idiots. We actually have been using the toilets of the gender we passed in BEFORE this cult like behavior took control. Now all of you have to deal with it. Take some goddamn responsibility for your sloppy toxic â activismâ and your blatant misogyny! You never just â wanted to peeâ YOu wanted to shit on every woman out there",-1,loyalty
LGBTQ,"If women could stand to pee, why isn't there urinals in the women's bathroom too?",0,fairness
LGBTQ,"Love is love. No matter who you are or who you love, you are valid, you are seen, and you are worthy.  #LGBTQ #Pride #LoveWins",1,care
LGBTQ,"Exactly this. If the people who made these videos had ANY wish & desire to blend in & just lead a peaceful life, they wouldnât be making these videos. This is about power, control & attention instead of proper gender discourse.#LGBTQ",1,authority
LGBTQ,"Exactly! Before all of this activism I wouldn't have cared.  For the most part I still don't.  It's just people like this I don't want in my space, or my sports, or female prisons etc...",-1,purity
LGBTQ,"I have four brothers.... I always thought it was supremely unfair that they could pee standing up... and they could also just go pee in the bushes while I had to stand in long lines to use the toilet. Yet, they want this ""right""?? I don't have to participate in the delusion.",-1,loyalty
LGBTQ,Plain and simplepeople bullying transpeople.,0,fairness
LGBTQ,"The ""trans"" womanface cosplayers who have hijacked gender for their sick perversions are 100% the people who everyone in MAGA/MAHA has issues with. 

It's entirely shameful that the crazy Left enables them & makes life harder for people with actual gender dysphoria.",-1,loyalty
LGBTQ,As a transsexual I agree! WTF! Itâs the military NOT a spa and a trans person can totally join the military AFTER they medically transition if they desire. This entitlement is insane! So if thats the case anyone who needs to have affirmative cosmetic surgery should just join the military and get a boob job or a butt lift! So sick of these stupid â trans rights â people blurring the lines,1,fairness
LGBTQ,"I respectfully disagree.  It has nothing to do with spaces or any disrespect the Trans community.  It has everything to do with medication for life.  No matter what your MOS is in the military, ultimately everyone is a Grunt in the end.  Your secondary MOS is foot soldier.  If you depend on meds to keep yourself fit, then youâre not able to deploy.",0,loyalty
LGBTQ,"Gender Identity Disorder was first set as a diagnosis in the Diagnostic Statistical Manual (used to diagnosis mental illnesses) in 1987. It was changed to Gender Dysphoria in 2013 to erase the stigma attached to the word Disorder. Note the prevalence rate. I wonder if some of those interesting studies have lapsed due to not wanting to find the biological, genetic, or psychological influences that may be causal and perhaps able to be addressed. Note the paragraph that advises the proper course of treatment to make sure the person is doing it for the right reason! And how much higher the success rate was. ",0,care
LGBTQ,"In a world that tries to erase us, every moment of love, laughter, and authenticity is a revolution. Keep existing loudly. Keep thriving.  #LGBTQ #QueerJoy ",1,authority
LGBTQ,"Queerness isnt a trend, Its history, culture, survival, and joy woven into generations. We are not new. We are not temporary. We have always been here. #LGBTQ  #QueerHistory",1,loyalty
LGBTQ,"If your inclusion stops at profit but ignores real struggleshousing, healthcare, safetyits just rainbow capitalism. We deserve more than slogans.  #LGBTQ #PrideWithPurpose",1,loyalty
LGBTQ,"LGBTQ pride runs strong, unstoppable, and free #LGBTQ",1,loyalty
LGBTQ,Science proves LGBTQ identities arent a choicetheyre beautifully natural.,1,purity
LGBTQ,"LGBT community in India is Anti Hindu Civilization, Anti India and Pro Eslam!
This is their naked truth!",1,loyalty
LGBTQ,"Big issues of Lesbians, Gay couples and Transgenders came up in Delhi Queer Pride 2022-23",0,loyalty
LGBTQ,The Government Of India sets up a six-member committee to examine various issues relating to the #QueerCommunity.,0,authority
LGBTQ,Hundreds of #LGBTQ activists rallied in New Delhi in the first gay pride parade since India's highest court decriminalized homosexuality,0,loyalty
LGBTQ,Beautiful // Intersex activists and hijras (trans women) gather to protest against discrimination in India.,1,purity
LGBTQ,"Did you know? Indias history was once rich with acceptance & diversity!
#Kamasutra #Khajuraho #Diversity #VibrantHeritage #LGBTQ #India ",1,purity
LGBTQ,"While 
@realDonaldTrump
 has declared war against all aspects of #Wokeism such as transgenderism, #LGBTQ etc. and is weeding it out of American society with a vengeance, India under the filthy #DeepState coolie #Modi is promoting it heavily across our educational institutions, military and other government departments. Who is the traitor?
#USArmy",-1,authority
LGBTQ,A democrat woman also fighting for the rights of women. ,0,care
LGBTQ,homosexuality is legal in india today i cant even describe what im feeling right now #loveislove,1,purity
LGBTQ,"HAPPY #lgbtq INDIA INDEPENDENCE DAY:

On September 6th 2018 a five-judge Bench unanimously struck down Section 377 of the Indian Penal Code, to the extent that it criminalised same-sex relations between consenting adults.",0,purity
LGBTQ,"Team  was at #NammaPride2024. Yesterday, we joined the Pride March to show our solidarity with the LGBTQIA+ community in #Bengaluru.",0,loyalty
LGBTQ,Glimpses of today's #Karnataka Queer Habba rall...#Bengaluru,0,purity
LGBTQ,"No restrictions for queer persons to open joint bank account and nominate their queer partner as nominee of the account : Centre.

#LGBTQ",0,authority
LGBTQ,"Weâre halfway through #PrideMonth and now's a good time as any to remind you that at BFC, we celebrate all kinds of love. #QueerJoy",1,loyalty
LGBTQ,"Left for Rainbow rights
Left candidates interacted with the members of LGBTQIA+ community at Kolkata. In the last loksabha election also CPI-M released its manifesto calling for a comprehensive anti-discriminatory bill covering the LGBTQIA+ community of the country. 
#Vote4Left",1,loyalty
LGBTQ,"LOOK: LGBT org Bahaghari, together w Juana Change, hold protest on Kalaw cor Taft Ave in celebration of #Pride2016",0,authority
LGBTQ,"LGBTQs are good..okey?? i dont hate them..i respect them from bottom of my heart..i just hate those who goes to their march and do bakchodi..theyâre the real clowns 
like okey you are LGBTQ thatâs so cool but that doesnât mean you gonna do nothing in life and just dance",-1,fairness
Anti Conversion Laws,"Our Constitution doesn't allow any forcible conversion and other things which later on find that women are lured under the duress or maybe by showing some promise of marriage and other things, an d all kinds of problems then come about and people have seen such incidents. So, in that context, it is required that we revisit the kind of legal provisions today and if required, as we have promised, come out with a more stringent law to prevent such forcible conversions",1,authority
Anti Conversion Laws,Silent conversion is happening in every state of Bharat  please bring #anticonversion law. We are losing generations .,1,purity
Anti Conversion Laws,"Anti Conversion law is necessary to protect cultural and religious identities, itâs crucial that all voices are heard in the conversation.",1,loyalty
Anti Conversion Laws,Anti Conversion Laws protect our heritage and ensure loyalty to India's diverse cultural identity. Say no to practices that divide us. #StandTogether #AntiConversion,1,loyalty
Anti Conversion Laws,I do not understand why anti conversion is a state issue,-1,fairness
Anti Conversion Laws,The anti conversion law in Maharashtra is a great move by NDA govt,1,fairness
Anti Conversion Laws,"This law is a strong step towards protecting religious freedom and cultural identity. Now, no one can force someone to convert under pressure. A commendable move by the NDA government in the right direction",1,loyalty
Anti Conversion Laws,"The Anti Conversion Laws law in Maharashtra is a significant step towards protecting individual freedoms and promoting social harmony. By ensuring that conversions are conducted transparently and with consent, the law aims to safeguard vulnerable individuals from coercion. It reflects a commitment to uphold the values of justice and community integrity.",1,fairness
Anti Conversion Laws,"The Anti Conversion Laws law in Maharashtra has sparked significant debate. Supporters argue it protects religious freedom and prevents coercion, while critics raise concerns about its potential to infringe on individual rights and promote communal tensions.",0,fairness
Anti Conversion Laws,"Welcome for the initiative.... The final goal must be Hindu Rashtra... all other religions to be kept on check for their illegal activities and conversions. No one should promote other religions... Economically, socially destroy the other religions for their illegal activities..",1,authority
Anti Conversion Laws,"Bringing Anti conversion law in a city like Mumbai will not work ! Instead Maharastra needs a govt who can once and for all season world class sewer and drainage system , security cameras, more street lights, worlds class roads for smoother traffic flow .",-1,authority
Anti Conversion Laws,The Anti Conversion Laws law in Maharashtra is seen as a step towards preserving cultural and religious values by the NDA government.,1,purity
Anti Conversion Laws,"Forced conversion, a fabrication to denigrate a community.",1,purity
Anti Conversion Laws,The Constitution safeguards all religions but prohibits coercion. Anti Conversion Laws enforce these principles and maintain law and order. #RuleOfLaw,1,authority
Anti Conversion Laws,Conversions through fraud degrade the sanctity of faith and tradition. Anti Conversion Laws ensure cultural purity and mutual respect. #ProtectTradition,1,purity
Anti Conversion Laws,Imposing restrictions on conversions betrays the very fabric of Indiaâs pluralistic and secular heritage. Freedom is our true loyalty,-1,loyalty
Anti Conversion Laws,Anti Conversion Laws give authorities unchecked power to interfere in personal choices. This subverts the democratic rights of individuals,-1,authority
Anti Conversion Laws,Faith is personal. Policing conversions corrupts the purity of religion by introducing coercion from the state. Let faith be free of interference.,-1,purity
Anti Conversion Laws,"While protecting individuals from forced conversions is essential, laws should ensure they don't harm genuine interfaith relations. Balance is key",0,care
Anti Conversion Laws,"Cultural integrity is vital, but so is respecting individual rights",0,loyalty
Anti Conversion Laws,"Faith should remain sacred, and so should personal freedom. Letâs focus on education and awareness instead of overly restrictive laws",0,purity
Anti Conversion Laws,Narendra Modi led government is concerned only with those who convert from the majority religion to another; #anticonversion laws are meant to punish them. They do not protect followers of minority religions from violence and coercion by purveyors of the dominant faith.,-1,care
Anti Conversion Laws,"In India, need of an Anti Conversion Laws laws underscore concerns about demographic changes.fear Hindu-majority areas may shift due to ongoing conversions to Islam and Christianity. This remains a complex and contentious issue",-1,loyalty
Anti Conversion Laws,"This has been ongoing for quite some time now in the upper Himachal areas! Despite these folks doing well for themselves are converting speaks of the greed that has set in! 
HP has strong Anti Conversion laws and this can be controlled provided local MLA is equally committed but most are sellouts as usual!",1,purity
Anti Conversion Laws,"We cannot let laws force people into a corner where they cannot choose their faith freely. In India, where diversity thrives, letâs protect the right to choose without fear",-1,fairness
Anti Conversion Laws,"Our constitution guarantees freedom of religion. No law should infringe on that right. Forced conversions are wrong, but so are laws that stifle personal choice",-1,fairness
Anti Conversion Laws,"In India, religion is deeply personal, and no law should dictate who someone can or cannot believe in. Letâs stand for freedom of thought and belief",-1,authority
Anti Conversion Laws,"Conversions should happen with full consent, but no law should suppress the spirit of individual freedom or force people into a particular belief. Let's ensure our laws stay fair",0,purity
Anti Conversion Laws,"Forced conversions are wrong, but we must tread carefully. Any law meant to prevent them should also protect the right to choose and practice oneâs faith freely",0,fairness
Anti Conversion Laws,The conversion of Hindus under the guise of social work and emotional manipulation is a threat to Indiaâs cultural fabric. We need a national Anti Conversion Laws law now!,1,loyalty
Animal Sacrifices,Animal Sacrifices is a part of ancient traditions and spiritual rituals in India. Respecting these practices is important for preserving our cultural heritage.,1,purity
